State,Abbreviation,web
Alabama,AL,http://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Alabama.svg
Alaska,AK,http://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Alaska.svg
Arizona,AZ,http://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Arizona.svg
Arkansas,AR,http://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Arkansas.svg
California,CA,http://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_California.svg
Colorado,CO,http://upload.wikimedia.org/wikipedia/commons/4/46/Flag_of_Colorado.svg
Connecticut,CT,http://upload.wikimedia.org/wikipedia/commons/9/96/Flag_of_Connecticut.svg
Delaware,DE,http://upload.wikimedia.org/wikipedia/commons/c/c6/Flag_of_Delaware.svg
Florida,FL,http://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Florida.svg
Georgia,GA,http://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg
Hawaii,HI,http://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Hawaii.svg
Idaho,ID,http://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_Idaho.svg
Illinois,IL,http://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Illinois.svg
Indiana,IN,http://upload.wikimedia.org/wikipedia/commons/a/ac/Flag_of_Indiana.svg
Iowa,IA,http://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Iowa.svg
Kansas,KS,http://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Kansas.svg
Kentucky,KY,http://upload.wikimedia.org/wikipedia/commons/8/8d/Flag_of_Kentucky.svg
Louisiana,LA,http://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_Louisiana.svg
Maine,ME,http://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_Maine.svg
Montana,MT,http://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_Montana.svg
Nebraska,NE,http://upload.wikimedia.org/wikipedia/commons/4/4d/Flag_of_Nebraska.svg
Nevada,NV,http://upload.wikimedia.org/wikipedia/commons/f/f1/Flag_of_Nevada.svg
New Hampshire,NH,http://upload.wikimedia.org/wikipedia/commons/2/28/Flag_of_New_Hampshire.svg
New Jersey,NJ,http://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_New_Jersey.svg
New Mexico,NM,http://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_New_Mexico.svg
New York,NY,http://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_New_York.svg
North Carolina,NC,http://upload.wikimedia.org/wikipedia/commons/b/bb/Flag_of_North_Carolina.svg
North Dakota,ND,http://upload.wikimedia.org/wikipedia/commons/e/ee/Flag_of_North_Dakota.svg
Ohio,OH,http://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Ohio.svg
Oklahoma,OK,http://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_Oklahoma.svg
Oregon,OR,http://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Oregon.svg
Maryland,MD,http://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Maryland.svg
Massachusetts,MA,http://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Massachusetts.svg
Michigan,MI,http://upload.wikimedia.org/wikipedia/commons/b/b5/Flag_of_Michigan.svg
Minnesota,MN,http://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Minnesota.svg
Mississippi,MS,http://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_Mississippi.svg
Missouri,MO,http://upload.wikimedia.org/wikipedia/commons/5/5a/Flag_of_Missouri.svg
Pennsylvania,PA,http://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Pennsylvania.svg
Rhode Island,RI,http://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Rhode_Island.svg
South Carolina,SC,http://upload.wikimedia.org/wikipedia/commons/6/69/Flag_of_South_Carolina.svg
South Dakota,SD,http://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_South_Dakota.svg
Tennessee,TN,http://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg
Texas,TX,http://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Texas.svg
Utah,UT,http://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Utah.svg
Vermont,VT,http://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Vermont.svg
Virginia,VA,http://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Virginia.svg
Washington,WA,http://upload.wikimedia.org/wikipedia/commons/5/54/Flag_of_Washington.svg
West Virginia,WV,http://upload.wikimedia.org/wikipedia/commons/2/22/Flag_of_West_Virginia.svg
Wisconsin,WI,http://upload.wikimedia.org/wikipedia/commons/2/22/Flag_of_Wisconsin.svg
Wyoming,WY,http://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Wyoming.svg
